Input1,Input2,Output
-100.0,-10.0,1.542999878371134e-20
-99.97999799979998,-9.993999399939995,1.4824445730883116e-20
-99.95999599959995,-9.987998799879987,1.4241743977433407e-20
-99.93999399939995,-9.981998199819982,1.368106662942966e-20
-99.91999199919992,-9.975997599759976,1.3141615393943855e-20
-99.8999899989999,-9.969996999699969,1.2622619637016408e-20
-99.87998799879988,-9.963996399639964,1.2123335471033619e-20
-99.85998599859985,-9.957995799579958,1.1643044870651667e-20
-99.83998399839984,-9.951995199519953,1.1181054816426574e-20
-99.81998199819982,-9.945994599459945,1.0736696465331772e-20
-99.7999799979998,-9.93999399939994,1.0309324347365893e-20
-99.77997799779978,-9.933993399339935,9.898315587477135e-21
-99.75997599759975,-9.927992799279927,9.503069152052963e-21
-99.73997399739974,-9.921992199219922,9.123005119243254e-21
-99.71997199719972,-9.915991599159916,8.757563972404205e-21
-99.6999699969997,-9.90999099909991,8.406205915973154e-21
-99.67996799679968,-9.903990399039904,8.068410213103451e-21
-99.65996599659967,-9.897989798979898,7.7436745444044e-21
-99.63996399639964,-9.891989198919893,7.43151438715252e-21
-99.61996199619962,-9.885988598859885,7.131462414356708e-21
-99.5999599959996,-9.87998799879988,6.843067913080998e-21
-99.57995799579957,-9.873987398739875,6.565896221436734e-21
-99.55995599559957,-9.867986798679867,6.2995281836847924e-21
-99.53995399539954,-9.861986198619862,6.0435596228939665e-21
-99.51995199519952,-9.855985598559856,5.797600830621628e-21
-99.4999499949995,-9.849984998499849,5.561276073099696e-21
-99.47994799479947,-9.843984398439844,5.334223113421224e-21
-99.45994599459947,-9.837983798379838,5.116092749236208e-21
-99.43994399439944,-9.831983198319833,4.906548365483937e-21
-99.41994199419942,-9.825982598259825,4.705265501697305e-21
-99.3999399939994,-9.81998199819982,4.511931433433288e-21
-99.37993799379937,-9.813981398139815,4.3262447673908996e-21
-99.35993599359936,-9.807980798079807,4.1479150497965194e-21
-99.33993399339934,-9.801980198019802,3.976662387644609e-21
-99.31993199319932,-9.795979597959796,3.812217082393708e-21
